train_acc,train_loss,val_acc,val_loss
0.02802105263157895,4.4102726,0.038,4.225073
0.07174736842105263,4.0167284,0.07520000000000002,4.0233235
0.1117263157894737,3.7439375,0.1352,3.5831387
0.1511578947368421,3.5030901,0.1764,3.3519502
0.1908,3.2754524,0.20560000000000003,3.1979206
0.23044210526315792,3.0520182,0.2492,2.970933
0.26686315789473686,2.8520932,0.292,2.8190677
0.29901052631578945,2.6934617,0.298,2.7291677
0.3243789473684211,2.5648057,0.3356,2.5656772
0.34930526315789473,2.4472213,0.35719999999999996,2.4777675
0.36930526315789475,2.3551373,0.39,2.3315585
0.3864421052631579,2.2682278,0.3708000000000001,2.3913217
0.4033473684210526,2.1991525,0.39919999999999994,2.2370603
0.41587368421052634,2.1379204,0.4044,2.2480695
0.43183157894736846,2.064595,0.40800000000000003,2.1871765
0.4450315789473684,2.0116959,0.42479999999999996,2.1669838
0.4582315789473685,1.9634229,0.43479999999999996,2.11695
0.4704210526315789,1.9156812,0.44480000000000003,2.0750017
0.4832842105263158,1.8638287,0.4331999999999999,2.1057153
0.49031578947368415,1.8233589,0.4412,2.0622795
0.49757894736842107,1.7862909,0.4635999999999999,1.9961542
0.5088631578947369,1.7469014,0.4696,1.9983437
0.5142526315789474,1.7183478,0.45399999999999996,1.9563763
0.5239157894736842,1.6827272,0.47919999999999996,1.9034545
0.5337052631578948,1.6497641,0.4832,1.9117348
0.5429263157894737,1.6073722,0.47239999999999993,1.9447379
0.5426105263157895,1.5885706,0.49599999999999994,1.8398856
0.5504842105263158,1.5705733,0.4932,1.8610438
0.5610105263157895,1.5394737,0.474,1.9173535
0.5678315789473684,1.5109215,0.5012,1.8952904
0.5706736842105262,1.4925847,0.5052,1.8551114
0.5794526315789474,1.4625595,0.4952,1.8756317
0.5829894736842104,1.4420792,0.5004,1.8389512
0.590357894736842,1.41921,0.514,1.8354858
0.5923368421052632,1.4052728,0.5152,1.8076674
0.5993894736842106,1.3797524,0.514,1.8184102
0.6004631578947369,1.366767,0.4976,1.926258
0.6081473684210527,1.3422371,0.5256000000000001,1.7593551
0.6148842105263158,1.3141327,0.5232000000000001,1.7670838
0.6205894736842106,1.2934538,0.5136,1.8361924
0.6248421052631578,1.2796582,0.5248,1.780664
0.6272842105263158,1.2604454,0.5252,1.782801
0.6306947368421052,1.2495925,0.526,1.8188661
0.6365052631578947,1.2312452,0.5291999999999999,1.7741472
0.6384421052631579,1.223262,0.534,1.7899294
0.6437894736842106,1.1981689,0.518,1.8854625
0.6509894736842106,1.1751523,0.5276,1.7383963
0.6533052631578947,1.1645403,0.5512,1.7539998
0.6584842105263158,1.1450663,0.5471999999999999,1.7638032
0.665178947368421,1.128657,0.5488000000000001,1.7858653
0.6670526315789475,1.1146287,0.5392,1.7574553
0.6682315789473684,1.1040998,0.5492,1.7658074
0.6747368421052632,1.0852963,0.5559999999999999,1.7507868
0.6796842105263159,1.0662433,0.5432,1.8410316
0.6809684210526316,1.058154,0.5432,1.7879916
0.6818736842105263,1.0477514,0.552,1.7816368
0.6841684210526316,1.0288502,0.5468,1.8032483
0.6933052631578948,1.0144049,0.5568,1.775058
0.6950736842105264,1.0053989,0.5464,1.8034805
0.6966947368421053,0.99033123,0.5472,1.8010768
0.7035789473684211,0.97392166,0.5484,1.8478986
0.7047157894736842,0.9637698,0.5424,1.840445
0.7078526315789473,0.96223253,0.5551999999999999,1.8407984
0.7122947368421053,0.9433807,0.562,1.767534
0.7146947368421053,0.93335736,0.5591999999999999,1.7760984
0.7174947368421054,0.9208125,0.5488000000000001,1.813866
0.7225263157894737,0.9041148,0.5544,1.8469229
0.7249052631578947,0.899028,0.556,1.8512595
0.7313263157894737,0.87794435,0.5524000000000001,1.8469714
0.7306526315789472,0.87608045,0.5604,1.8115981
0.7352842105263158,0.8631958,0.5644,1.8713913
0.7366736842105264,0.8518502,0.5548000000000001,1.8722621
0.739536842105263,0.8511983,0.5644,1.8423926
0.7422947368421052,0.8337102,0.5700000000000001,1.8664262
0.7411157894736844,0.8345309,0.5559999999999999,1.8760126
0.7466105263157894,0.8132656,0.5539999999999999,1.8718315
0.7491578947368421,0.80792713,0.56,1.8587784
0.7524842105263158,0.79892194,0.5568,1.8655957
0.7542526315789473,0.79176974,0.5516000000000001,1.8743622
0.7528000000000001,0.790796,0.5539999999999999,1.8690435
0.7581684210526316,0.7802643,0.56,1.9119779
0.7625684210526317,0.7697014,0.5596,1.9049199
0.7603368421052631,0.77219456,0.5592,1.8979641
0.7650736842105262,0.7575219,0.5556,1.9180853
0.7654736842105262,0.75551707,0.5584,1.925644
0.7665052631578948,0.74803764,0.5584,1.9364985
0.7657473684210526,0.748999,0.5604,1.8930898
0.7676000000000001,0.74172395,0.5544,1.9269611
0.7684210526315789,0.73943603,0.5584,1.9245876
0.7680631578947369,0.74006987,0.5576000000000001,1.9265354
0.7749052631578947,0.728241,0.5568000000000001,1.9249028
0.7738736842105264,0.72737664,0.5628,1.9323401
0.7740631578947369,0.7237699,0.5588,1.9252075
0.7728631578947369,0.7256487,0.56,1.9332032
0.7757263157894737,0.720939,0.5660000000000001,1.9316357
0.7772210526315789,0.71477586,0.5552,1.9391438
0.7761052631578947,0.71745,0.5591999999999999,1.93784
0.7758526315789473,0.7173725,0.5584,1.9428264
0.7765263157894736,0.71065646,0.5576,1.9405423
0.7764421052631578,0.71166927,0.5596,1.9448593
